element,date,time,block,reading,sample_id,x,sigma_x,y,sigma_y_c,epsilon,sigma_y_eff
As,2025-05-05,16:56:53,2,63,Black Shale,46.240000,0.830000,46.000000,1.000000,1.391365,1.713446
Rb,2025-05-05,16:56:53,2,63,Black Shale,140.000000,5.000000,160.000000,1.000000,1.278521,1.623150
Sr,2025-05-05,16:56:53,2,63,Black Shale,86.740000,1.710000,82.000000,1.000000,0.931982,1.366964
Y,2025-05-05,16:56:53,2,63,Black Shale,26.700000,0.600000,25.000000,1.000000,0.828189,1.298421
Zr,2025-05-05,16:56:53,2,63,Black Shale,144.240000,2.310000,138.000000,1.000000,1.391365,1.713446
Nb,2025-05-05,16:56:53,2,63,Black Shale,8.810000,0.100000,6.000000,1.000000,0.989949,1.407125
Mo,2025-05-05,16:56:53,2,63,Black Shale,159.410000,4.290000,144.000000,1.000000,1.983910,2.221688
Ba,2025-05-05,16:56:53,2,63,Black Shale,454.110000,29.590000,464.000000,14.000000,15.613111,20.970675
La,2025-05-05,16:56:53,2,63,Black Shale,33.530000,0.510000,85.000000,23.000000,14.737330,27.316458
Ce,2025-05-05,16:56:53,2,63,Black Shale,64.580000,1.120000,91.000000,27.000000,24.725777,36.610982
Pb,2025-05-05,16:56:53,2,63,Black Shale,52.180000,0.880000,56.000000,1.000000,1.368136,1.694637
Th,2025-05-05,16:56:53,2,63,Black Shale,9.310000,0.100000,21.000000,2.000000,2.322548,3.065001
U,2025-05-05,16:56:53,2,63,Black Shale,25.400000,0.510000,28.000000,1.000000,1.164375,1.534852
Al,2025-05-05,16:59:37,2,64,Carbonatite,1958.000000,212.000000,3110.000000,149.000000,393.265928,420.546180
Si,2025-05-05,16:59:37,2,64,Carbonatite,16222.000000,514.000000,13023.000000,95.000000,360.179042,372.496902
Fe,2025-05-05,16:59:37,2,64,Carbonatite,20562.000000,700.000000,15040.000000,62.000000,249.653985,257.237463
Ni,2025-05-05,16:59:37,2,64,Carbonatite,13.000000,1.000000,15.000000,3.000000,2.464491,3.882489
Y,2025-05-05,16:59:37,2,64,Carbonatite,81.000000,0.500000,69.000000,1.000000,1.574028,1.864823
Mg,2025-05-05,17:02:24,2,65,Phosphate,6400.000000,51.000000,5963.000000,952.000000,891.789297,1304.450900
Al,2025-05-05,17:02:24,2,65,Phosphate,12000.000000,138.000000,15588.000000,216.000000,478.559805,525.048081
Si,2025-05-05,17:02:24,2,65,Phosphate,61400.000000,316.000000,59045.000000,213.000000,614.596196,650.459440
Fe,2025-05-05,17:02:24,2,65,Phosphate,39200.000000,199.000000,41123.000000,129.000000,179.887556,221.360639
Zn,2025-05-05,17:02:24,2,65,Phosphate,26.400000,3.660000,29.000000,3.000000,2.544377,3.933682
As,2025-05-05,17:02:24,2,65,Phosphate,24.800000,0.920000,25.000000,2.000000,1.615893,2.571208
Sr,2025-05-05,17:02:24,2,65,Phosphate,703.600000,3.110000,699.000000,3.000000,3.963065,4.970501
Zr,2025-05-05,17:02:24,2,65,Phosphate,58.710000,10.770000,44.000000,2.000000,5.468269,5.822539
Ba,2025-05-05,17:02:24,2,65,Phosphate,219.700000,1.720000,246.000000,16.000000,19.053760,24.880630
Pb,2025-05-05,17:02:24,2,65,Phosphate,76.700000,4.080000,72.000000,2.000000,4.425121,4.856099
Mg,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,26800.000000,1206.000000,25847.000000,823.000000,759.354348,1119.798208
Al,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,34500.000000,1111.000000,36756.000000,246.000000,1108.266918,1135.240750
Si,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,131800.000000,982.000000,129993.000000,303.000000,858.155672,910.077006
P,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,1400.000000,288.000000,1425.000000,21.000000,87.424656,89.911459
S,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,15300.000000,1100.000000,13186.000000,44.000000,140.893190,147.603831
K,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,13800.000000,8301.000000,12695.000000,38.000000,88.450171,96.267506
Ca,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,59900.000000,1215.000000,58886.000000,127.000000,414.003852,433.045251
Ti,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,1500.000000,150.000000,1487.000000,53.000000,53.785036,75.510464
V,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,130.000000,6.000000,95.000000,15.000000,13.251512,20.015058
Mn,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,267.000000,34.000000,231.000000,7.000000,8.262908,10.829388
Fe,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,21200.000000,1088.000000,18673.000000,53.000000,163.645205,172.013817
Co,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,12.000000,1.500000,75.000000,10.000000,8.808504,13.326280
Ni,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,29.000000,0.010000,23.000000,2.000000,1.790287,2.684237
Cu,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,66.000000,9.000000,67.000000,2.000000,2.268090,3.023943
Zn,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,74.000000,9.000000,85.000000,2.000000,2.128861,2.920968
As,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,67.000000,5.000000,53.000000,1.000000,1.162998,1.533807
Sr,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,420.000000,30.000000,351.000000,1.000000,2.515338,2.706829
Y,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,13.000000,0.010000,8.000000,1.000000,0.713874,1.228664
Zr,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,53.000000,0.010000,43.000000,1.000000,1.097783,1.484967
Mo,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,35.000000,0.900000,30.000000,1.000000,1.065183,1.461032
Ba,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,290.000000,40.000000,246.000000,10.000000,16.503011,19.296356
La,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,20.000000,1.800000,61.000000,18.000000,9.622889,20.410781
Pb,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,38.000000,4.000000,39.000000,1.000000,0.972375,1.394816
Th,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,5.000000,0.210000,9.000000,2.000000,1.519712,2.511877
U,2025-05-06,08:54:38,1,1,Carbonate-Rich Shale,5.000000,0.400000,8.000000,1.000000,0.875229,1.328919
Mg,2025-05-06,08:57:19,1,2,Marine Shale,15683.000000,60.000000,14682.000000,781.000000,623.651959,999.451232
Al,2025-05-06,08:57:19,1,2,Marine Shale,111132.000000,212.000000,116923.000000,406.000000,1129.053095,1199.832026
Si,2025-05-06,08:57:19,1,2,Marine Shale,222717.000000,400.000000,225268.000000,455.000000,1745.922558,1804.236841
P,2025-05-06,08:57:19,1,2,Marine Shale,1615.000000,9.000000,1477.000000,23.000000,114.115102,116.409864
S,2025-05-06,08:57:19,1,2,Marine Shale,7150.000000,80.000000,3930.000000,29.000000,76.901515,82.187852
K,2025-05-06,08:57:19,1,2,Marine Shale,28640.000000,83.000000,26430.000000,70.000000,137.230155,154.052314
Ca,2025-05-06,08:57:19,1,2,Marine Shale,21084.000000,71.000000,19681.000000,53.000000,390.642432,394.221397
Ti,2025-05-06,08:57:19,1,2,Marine Shale,5126.000000,18.000000,4988.000000,78.000000,77.225008,109.762024
V,2025-05-06,08:57:19,1,2,Marine Shale,220.000000,1.400000,225.000000,21.000000,20.216140,29.149482
Cr,2025-05-06,08:57:19,1,2,Marine Shale,109.000000,1.000000,117.000000,11.000000,6.996565,13.036561
Mn,2025-05-06,08:57:19,1,2,Marine Shale,1162.000000,8.000000,984.000000,14.000000,16.289252,21.478821
Fe,2025-05-06,08:57:19,1,2,Marine Shale,67912.000000,155.000000,66726.000000,155.000000,189.790472,245.041676
Co,2025-05-06,08:57:19,1,2,Marine Shale,22.700000,0.100000,192.000000,20.000000,22.311461,29.963332
Ni,2025-05-06,08:57:19,1,2,Marine Shale,82.800000,0.800000,99.000000,3.000000,2.967776,4.219916
Cu,2025-05-06,08:57:19,1,2,Marine Shale,31.000000,0.600000,54.000000,3.000000,7.755478,8.315494
Zn,2025-05-06,08:57:19,1,2,Marine Shale,186.000000,1.700000,223.000000,3.000000,7.688236,8.252816
As,2025-05-06,08:57:19,1,2,Marine Shale,25.700000,0.700000,27.000000,1.000000,1.080123,1.471960
Rb,2025-05-06,08:57:19,1,2,Marine Shale,147.000000,1.000000,149.000000,1.000000,1.226053,1.582152
Sr,2025-05-06,08:57:19,1,2,Marine Shale,178.000000,1.400000,179.000000,1.000000,1.403978,1.723704
Y,2025-05-06,08:57:19,1,2,Marine Shale,36.500000,0.100000,37.000000,1.000000,1.026882,1.433348
Zr,2025-05-06,08:57:19,1,2,Marine Shale,134.000000,1.600000,135.000000,1.000000,1.372813,1.698416
Nb,2025-05-06,08:57:19,1,2,Marine Shale,15.300000,0.100000,10.000000,1.000000,0.959099,1.385594
Ba,2025-05-06,08:57:19,1,2,Marine Shale,788.000000,7.700000,861.000000,15.000000,16.586699,22.363331
La,2025-05-06,08:57:19,1,2,Marine Shale,52.500000,0.600000,129.000000,24.000000,25.458463,34.987617
Ce,2025-05-06,08:57:19,1,2,Marine Shale,108.000000,0.900000,132.000000,29.000000,29.781900,41.568757
Pb,2025-05-06,08:57:19,1,2,Marine Shale,35.000000,0.100000,36.000000,1.000000,1.263390,1.611258
Th,2025-05-06,08:57:19,1,2,Marine Shale,15.800000,0.100000,29.000000,2.000000,2.363586,3.096214
U,2025-05-06,08:57:19,1,2,Marine Shale,5.760000,0.100000,6.000000,1.000000,1.204958,1.565862
Mg,2025-05-06,09:00:07,1,3,Black Shale,12300.000000,77.000000,13177.000000,777.000000,729.051940,1065.479109
Al,2025-05-06,09:00:07,1,3,Black Shale,80300.000000,409.000000,92798.000000,364.000000,792.651452,872.234099
Si,2025-05-06,09:00:07,1,3,Black Shale,235700.000000,1217.000000,247178.000000,469.000000,1639.512953,1705.275264
P,2025-05-06,09:00:07,1,3,Black Shale,400.000000,0.100000,638.000000,20.000000,113.064694,114.819968
S,2025-05-06,09:00:07,1,3,Black Shale,58400.000000,470.000000,42296.000000,108.000000,267.404182,288.390355
K,2025-05-06,09:00:07,1,3,Black Shale,31800.000000,281.000000,31924.000000,81.000000,168.353556,186.825908
Ca,2025-05-06,09:00:07,1,3,Black Shale,11800.000000,201.000000,13049.000000,40.000000,341.827967,344.160368
Ti,2025-05-06,09:00:07,1,3,Black Shale,3600.000000,47.000000,3492.000000,74.000000,74.284817,104.853393
V,2025-05-06,09:00:07,1,3,Black Shale,219.120000,3.640000,186.000000,20.000000,16.742009,26.082463
Cr,2025-05-06,09:00:07,1,3,Black Shale,98.350000,3.600000,79.000000,10.000000,9.209109,13.594399
Mn,2025-05-06,09:00:07,1,3,Black Shale,200.000000,0.000000,187.000000,10.000000,11.095593,14.936940
Fe,2025-05-06,09:00:07,1,3,Black Shale,66400.000000,544.000000,65240.000000,149.000000,155.394092,215.286608
Co,2025-05-06,09:00:07,1,3,Black Shale,40.650000,0.700000,250.000000,20.000000,20.211066,28.433909
Ni,2025-05-06,09:00:07,1,3,Black Shale,192.940000,16.490000,204.000000,4.000000,4.359267,5.916351
Cu,2025-05-06,09:00:07,1,3,Black Shale,176.650000,3.240000,176.000000,4.000000,3.915371,5.597332
Zn,2025-05-06,09:00:07,1,3,Black Shale,62.520000,7.800000,56.000000,2.000000,2.669870,3.335896
As,2025-05-06,09:00:07,1,3,Black Shale,46.240000,0.830000,46.000000,1.000000,1.391365,1.713446
Rb,2025-05-06,09:00:07,1,3,Black Shale,140.000000,5.000000,158.000000,1.000000,1.278521,1.623150
Sr,2025-05-06,09:00:07,1,3,Black Shale,86.740000,1.710000,81.000000,1.000000,0.931982,1.366964
Y,2025-05-06,09:00:07,1,3,Black Shale,26.700000,0.600000,27.000000,1.000000,0.828189,1.298421
Zr,2025-05-06,09:00:07,1,3,Black Shale,144.240000,2.310000,139.000000,1.000000,1.391365,1.713446
Nb,2025-05-06,09:00:07,1,3,Black Shale,8.810000,0.100000,5.000000,1.000000,0.989949,1.407125
Mo,2025-05-06,09:00:07,1,3,Black Shale,159.410000,4.290000,144.000000,1.000000,1.983910,2.221688
Ba,2025-05-06,09:00:07,1,3,Black Shale,454.110000,29.590000,465.000000,14.000000,15.613111,20.970675
Ce,2025-05-06,09:00:07,1,3,Black Shale,64.580000,1.120000,114.000000,28.000000,24.725777,37.354572
Pb,2025-05-06,09:00:07,1,3,Black Shale,52.180000,0.880000,54.000000,1.000000,1.368136,1.694637
Th,2025-05-06,09:00:07,1,3,Black Shale,9.310000,0.100000,21.000000,2.000000,2.322548,3.065001
U,2025-05-06,09:00:07,1,3,Black Shale,25.400000,0.510000,29.000000,1.000000,1.164375,1.534852
Al,2025-05-06,09:02:47,1,4,Carbonatite,1958.000000,212.000000,2815.000000,157.000000,393.265928,423.446679
Si,2025-05-06,09:02:47,1,4,Carbonatite,16222.000000,514.000000,12355.000000,95.000000,360.179042,372.496902
Fe,2025-05-06,09:02:47,1,4,Carbonatite,20562.000000,700.000000,15365.000000,60.000000,249.653985,256.762755
Ni,2025-05-06,09:02:47,1,4,Carbonatite,13.000000,1.000000,14.000000,3.000000,2.464491,3.882489
Y,2025-05-06,09:02:47,1,4,Carbonatite,81.000000,0.500000,67.000000,1.000000,1.574028,1.864823
Mg,2025-05-06,09:05:32,1,5,Phosphate,6400.000000,51.000000,7707.000000,1053.000000,891.789297,1379.890267
Al,2025-05-06,09:05:32,1,5,Phosphate,12000.000000,138.000000,15356.000000,225.000000,478.559805,528.814227
Si,2025-05-06,09:05:32,1,5,Phosphate,61400.000000,316.000000,59488.000000,221.000000,614.596196,653.122870
Fe,2025-05-06,09:05:32,1,5,Phosphate,39200.000000,199.000000,41298.000000,133.000000,179.887556,223.715294
Zn,2025-05-06,09:05:32,1,5,Phosphate,26.400000,3.660000,32.000000,3.000000,2.544377,3.933682
As,2025-05-06,09:05:32,1,5,Phosphate,24.800000,0.920000,20.000000,2.000000,1.615893,2.571208
Sr,2025-05-06,09:05:32,1,5,Phosphate,703.600000,3.110000,699.000000,3.000000,3.963065,4.970501
Zr,2025-05-06,09:05:32,1,5,Phosphate,58.710000,10.770000,66.000000,2.000000,5.468269,5.822539
Ba,2025-05-06,09:05:32,1,5,Phosphate,219.700000,1.720000,216.000000,16.000000,19.053760,24.880630
Pb,2025-05-06,09:05:32,1,5,Phosphate,76.700000,4.080000,76.000000,2.000000,4.425121,4.856099
Mg,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,26800.000000,1206.000000,25549.000000,733.000000,759.354348,1055.418413
Al,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,34500.000000,1111.000000,37067.000000,233.000000,1108.266918,1132.494839
Si,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,131800.000000,982.000000,130484.000000,291.000000,858.155672,906.152392
P,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,1400.000000,288.000000,1488.000000,20.000000,87.424656,89.683167
S,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,15300.000000,1100.000000,13431.000000,43.000000,140.893190,147.308829
K,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,13800.000000,8301.000000,12730.000000,37.000000,88.450171,95.877175
Ca,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,59900.000000,1215.000000,58855.000000,121.000000,414.003852,431.323764
Ti,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,1500.000000,150.000000,1468.000000,53.000000,53.785036,75.510464
V,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,130.000000,6.000000,126.000000,15.000000,13.251512,20.015058
Mn,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,267.000000,34.000000,240.000000,8.000000,8.262908,11.501115
Fe,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,21200.000000,1088.000000,19029.000000,53.000000,163.645205,172.013817
Co,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,12.000000,1.500000,72.000000,10.000000,8.808504,13.326280
Ni,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,29.000000,0.010000,29.000000,2.000000,1.790287,2.684237
Cu,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,66.000000,9.000000,70.000000,2.000000,2.268090,3.023943
Zn,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,74.000000,9.000000,85.000000,2.000000,2.128861,2.920968
As,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,67.000000,5.000000,55.000000,1.000000,1.162998,1.533807
Sr,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,420.000000,30.000000,358.000000,1.000000,2.515338,2.706829
Y,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,13.000000,0.010000,7.000000,1.000000,0.713874,1.228664
Zr,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,53.000000,0.010000,43.000000,1.000000,1.097783,1.484967
Mo,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,35.000000,0.900000,30.000000,1.000000,1.065183,1.461032
Ba,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,290.000000,40.000000,208.000000,10.000000,16.503011,19.296356
Pb,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,38.000000,4.000000,41.000000,1.000000,0.972375,1.394816
Th,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,5.000000,0.210000,9.000000,2.000000,1.519712,2.511877
U,2025-05-06,11:29:57,2,69,Carbonate-Rich Shale,5.000000,0.400000,9.000000,1.000000,0.875229,1.328919
Mg,2025-05-06,11:32:31,2,70,Marine Shale,15683.000000,60.000000,15937.000000,701.000000,623.651959,938.265829
Al,2025-05-06,11:32:31,2,70,Marine Shale,111132.000000,212.000000,117023.000000,388.000000,1129.053095,1193.861337
Si,2025-05-06,11:32:31,2,70,Marine Shale,222717.000000,400.000000,225204.000000,437.000000,1745.922558,1799.781814
P,2025-05-06,11:32:31,2,70,Marine Shale,1615.000000,9.000000,1492.000000,23.000000,114.115102,116.409864
S,2025-05-06,11:32:31,2,70,Marine Shale,7150.000000,80.000000,4070.000000,29.000000,76.901515,82.187852
K,2025-05-06,11:32:31,2,70,Marine Shale,28640.000000,83.000000,26653.000000,69.000000,137.230155,153.600506
Ca,2025-05-06,11:32:31,2,70,Marine Shale,21084.000000,71.000000,19969.000000,52.000000,390.642432,394.088200
Ti,2025-05-06,11:32:31,2,70,Marine Shale,5126.000000,18.000000,4830.000000,79.000000,77.225008,110.474893
V,2025-05-06,11:32:31,2,70,Marine Shale,220.000000,1.400000,186.000000,21.000000,20.216140,29.149482
Cr,2025-05-06,11:32:31,2,70,Marine Shale,109.000000,1.000000,99.000000,10.000000,6.996565,12.204586
Mn,2025-05-06,11:32:31,2,70,Marine Shale,1162.000000,8.000000,1007.000000,14.000000,16.289252,21.478821
Fe,2025-05-06,11:32:31,2,70,Marine Shale,67912.000000,155.000000,66995.000000,151.000000,189.790472,242.531283
Co,2025-05-06,11:32:31,2,70,Marine Shale,22.700000,0.100000,183.000000,20.000000,22.311461,29.963332
Ni,2025-05-06,11:32:31,2,70,Marine Shale,82.800000,0.800000,106.000000,3.000000,2.967776,4.219916
Cu,2025-05-06,11:32:31,2,70,Marine Shale,31.000000,0.600000,51.000000,3.000000,7.755478,8.315494
Zn,2025-05-06,11:32:31,2,70,Marine Shale,186.000000,1.700000,216.000000,3.000000,7.688236,8.252816
As,2025-05-06,11:32:31,2,70,Marine Shale,25.700000,0.700000,28.000000,1.000000,1.080123,1.471960
Rb,2025-05-06,11:32:31,2,70,Marine Shale,147.000000,1.000000,150.000000,1.000000,1.226053,1.582152
Sr,2025-05-06,11:32:31,2,70,Marine Shale,178.000000,1.400000,182.000000,1.000000,1.403978,1.723704
Y,2025-05-06,11:32:31,2,70,Marine Shale,36.500000,0.100000,36.000000,1.000000,1.026882,1.433348
Zr,2025-05-06,11:32:31,2,70,Marine Shale,134.000000,1.600000,136.000000,1.000000,1.372813,1.698416
Nb,2025-05-06,11:32:31,2,70,Marine Shale,15.300000,0.100000,9.000000,1.000000,0.959099,1.385594
Mo,2025-05-06,11:32:31,2,70,Marine Shale,2.400000,0.100000,6.000000,1.000000,0.577350,1.154701
Ba,2025-05-06,11:32:31,2,70,Marine Shale,788.000000,7.700000,882.000000,15.000000,16.586699,22.363331
La,2025-05-06,11:32:31,2,70,Marine Shale,52.500000,0.600000,84.000000,25.000000,25.458463,35.680994
Ce,2025-05-06,11:32:31,2,70,Marine Shale,108.000000,0.900000,193.000000,30.000000,29.781900,42.272468
Pb,2025-05-06,11:32:31,2,70,Marine Shale,35.000000,0.100000,38.000000,1.000000,1.263390,1.611258
Th,2025-05-06,11:32:31,2,70,Marine Shale,15.800000,0.100000,28.000000,2.000000,2.363586,3.096214
U,2025-05-06,11:32:31,2,70,Marine Shale,5.760000,0.100000,7.000000,1.000000,1.204958,1.565862
Mg,2025-05-06,11:35:04,2,71,Black Shale,12300.000000,77.000000,12206.000000,687.000000,729.051940,1001.741349
Al,2025-05-06,11:35:04,2,71,Black Shale,80300.000000,409.000000,92421.000000,346.000000,792.651452,864.877057
Si,2025-05-06,11:35:04,2,71,Black Shale,235700.000000,1217.000000,246219.000000,447.000000,1639.512953,1699.356268
P,2025-05-06,11:35:04,2,71,Black Shale,400.000000,0.100000,695.000000,19.000000,113.064694,114.650011
S,2025-05-06,11:35:04,2,71,Black Shale,58400.000000,470.000000,42040.000000,104.000000,267.404182,286.916359
K,2025-05-06,11:35:04,2,71,Black Shale,31800.000000,281.000000,31882.000000,78.000000,168.353556,185.544927
Ca,2025-05-06,11:35:04,2,71,Black Shale,11800.000000,201.000000,13121.000000,39.000000,341.827967,344.045577
Ti,2025-05-06,11:35:04,2,71,Black Shale,3600.000000,47.000000,3685.000000,74.000000,74.284817,104.853393
V,2025-05-06,11:35:04,2,71,Black Shale,219.120000,3.640000,198.000000,20.000000,16.742009,26.082463
Cr,2025-05-06,11:35:04,2,71,Black Shale,98.350000,3.600000,79.000000,10.000000,9.209109,13.594399
Mn,2025-05-06,11:35:04,2,71,Black Shale,200.000000,0.000000,189.000000,10.000000,11.095593,14.936940
Fe,2025-05-06,11:35:04,2,71,Black Shale,66400.000000,544.000000,65330.000000,144.000000,155.394092,211.856847
Co,2025-05-06,11:35:04,2,71,Black Shale,40.650000,0.700000,216.000000,20.000000,20.211066,28.433909
Ni,2025-05-06,11:35:04,2,71,Black Shale,192.940000,16.490000,198.000000,4.000000,4.359267,5.916351
Cu,2025-05-06,11:35:04,2,71,Black Shale,176.650000,3.240000,181.000000,4.000000,3.915371,5.597332
Zn,2025-05-06,11:35:04,2,71,Black Shale,62.520000,7.800000,60.000000,2.000000,2.669870,3.335896
As,2025-05-06,11:35:04,2,71,Black Shale,46.240000,0.830000,47.000000,1.000000,1.391365,1.713446
Rb,2025-05-06,11:35:04,2,71,Black Shale,140.000000,5.000000,157.000000,1.000000,1.278521,1.623150
Sr,2025-05-06,11:35:04,2,71,Black Shale,86.740000,1.710000,81.000000,1.000000,0.931982,1.366964
Y,2025-05-06,11:35:04,2,71,Black Shale,26.700000,0.600000,26.000000,1.000000,0.828189,1.298421
Zr,2025-05-06,11:35:04,2,71,Black Shale,144.240000,2.310000,136.000000,1.000000,1.391365,1.713446
Nb,2025-05-06,11:35:04,2,71,Black Shale,8.810000,0.100000,3.000000,1.000000,0.989949,1.407125
Mo,2025-05-06,11:35:04,2,71,Black Shale,159.410000,4.290000,141.000000,1.000000,1.983910,2.221688
Ba,2025-05-06,11:35:04,2,71,Black Shale,454.110000,29.590000,455.000000,13.000000,15.613111,20.316723
Ce,2025-05-06,11:35:04,2,71,Black Shale,64.580000,1.120000,127.000000,27.000000,24.725777,36.610982
Pb,2025-05-06,11:35:04,2,71,Black Shale,52.180000,0.880000,55.000000,1.000000,1.368136,1.694637
Th,2025-05-06,11:35:04,2,71,Black Shale,9.310000,0.100000,25.000000,2.000000,2.322548,3.065001
U,2025-05-06,11:35:04,2,71,Black Shale,25.400000,0.510000,28.000000,1.000000,1.164375,1.534852
Al,2025-05-06,11:37:35,2,72,Carbonatite,1958.000000,212.000000,2647.000000,145.000000,393.265928,419.145666
Si,2025-05-06,11:37:35,2,72,Carbonatite,16222.000000,514.000000,12751.000000,94.000000,360.179042,372.243123
Fe,2025-05-06,11:37:35,2,72,Carbonatite,20562.000000,700.000000,14834.000000,62.000000,249.653985,257.237463
Ni,2025-05-06,11:37:35,2,72,Carbonatite,13.000000,1.000000,19.000000,3.000000,2.464491,3.882489
Y,2025-05-06,11:37:35,2,72,Carbonatite,81.000000,0.500000,65.000000,1.000000,1.574028,1.864823
Mg,2025-05-06,11:40:06,2,73,Phosphate,6400.000000,51.000000,6086.000000,940.000000,891.789297,1295.719163
Al,2025-05-06,11:40:06,2,73,Phosphate,12000.000000,138.000000,15445.000000,214.000000,478.559805,524.228468
Si,2025-05-06,11:40:06,2,73,Phosphate,61400.000000,316.000000,58990.000000,212.000000,614.596196,650.132666
Fe,2025-05-06,11:40:06,2,73,Phosphate,39200.000000,199.000000,41075.000000,129.000000,179.887556,221.360639
Zn,2025-05-06,11:40:06,2,73,Phosphate,26.400000,3.660000,25.000000,3.000000,2.544377,3.933682
As,2025-05-06,11:40:06,2,73,Phosphate,24.800000,0.920000,20.000000,2.000000,1.615893,2.571208
Sr,2025-05-06,11:40:06,2,73,Phosphate,703.600000,3.110000,706.000000,3.000000,3.963065,4.970501
Zr,2025-05-06,11:40:06,2,73,Phosphate,58.710000,10.770000,66.000000,2.000000,5.468269,5.822539
Ba,2025-05-06,11:40:06,2,73,Phosphate,219.700000,1.720000,267.000000,16.000000,19.053760,24.880630
Pb,2025-05-06,11:40:06,2,73,Phosphate,76.700000,4.080000,79.000000,2.000000,4.425121,4.856099
Mg,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,26800.000000,1206.000000,25827.000000,728.000000,759.354348,1051.952007
Al,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,34500.000000,1111.000000,36688.000000,232.000000,1108.266918,1132.289522
Si,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,131800.000000,982.000000,130426.000000,290.000000,858.155672,905.831749
P,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,1400.000000,288.000000,1512.000000,20.000000,87.424656,89.683167
S,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,15300.000000,1100.000000,13351.000000,43.000000,140.893190,147.308829
K,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,13800.000000,8301.000000,12735.000000,37.000000,88.450171,95.877175
Ca,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,59900.000000,1215.000000,59893.000000,123.000000,414.003852,431.889094
Ti,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,1500.000000,150.000000,1516.000000,54.000000,53.785036,76.215682
V,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,130.000000,6.000000,99.000000,15.000000,13.251512,20.015058
Mn,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,267.000000,34.000000,227.000000,8.000000,8.262908,11.501115
Fe,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,21200.000000,1088.000000,19069.000000,53.000000,163.645205,172.013817
Co,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,12.000000,1.500000,70.000000,10.000000,8.808504,13.326280
Ni,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,29.000000,0.010000,29.000000,2.000000,1.790287,2.684237
Cu,2025-05-06,15:32:17,3,150,Carbonate-Rich Shale,66.000000,9.000000,65.000000,2.000000,2.268090,3.023943
