element,date,time,block,reading,sample_id,x,sigma_x,y,sigma_y_c,epsilon,sigma_y_eff,rules,reason
Cd,2025-05-19,12:49:24,2,59,Phosphate,0.000000,0.010000,25.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-05-19,12:49:24,2,59,Phosphate,0.000000,0.010000,20.000000,6.000000,4.690416,7.615773,1,certified value 0 <= 1x uncertainty 0.01 (~0)
La,2025-05-19,12:49:24,2,59,Phosphate,495.800000,4.890000,720.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-05-19,12:49:24,2,59,Phosphate,928.800000,10.190000,1344.000000,38.000000,40.544980,55.568835,3,928.8 ppm > 4x max shale (108 ppm)
Nd,2025-05-19,12:49:24,2,59,Phosphate,351.000000,9.940000,580.000000,73.000000,83.283259,110.747918,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-05-19,12:49:24,2,59,Phosphate,0.000000,0.010000,13.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-05-19,12:49:24,2,59,Phosphate,0.000000,0.010000,8.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-05-19,12:49:24,2,59,Phosphate,10.700000,0.670000,37.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-05-19,12:49:24,2,59,Phosphate,30.500000,0.710000,30.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-05-19,17:02:18,3,108,Carbonate-Rich Shale,0.000000,0.010000,76.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-05-19,17:04:50,3,109,Marine Shale,3.300000,0.100000,26.000000,5.000000,4.072002,6.448348,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-05-19,17:04:50,3,109,Marine Shale,0.000000,0.010000,6.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-05-19,17:07:39,3,110,Black Shale,6.310000,0.870000,3.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Ag,2025-05-19,17:07:39,3,110,Black Shale,0.000000,0.010000,5.000000,2.000000,0.000000,2.000000,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-05-19,17:07:39,3,110,Black Shale,0.000000,0.010000,16.000000,5.000000,4.210165,6.536474,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sb,2025-05-19,17:07:39,3,110,Black Shale,4.510000,0.100000,23.000000,7.000000,0.000000,7.000000,5,element CV 0.81177 >= 0.5 after Rules 1-4 (incoherent array)
Hg,2025-05-19,17:07:39,3,110,Black Shale,0.000000,0.010000,8.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-05-19,17:10:18,3,111,Carbonatite,7540.000000,181.000000,3615.000000,883.000000,715.655280,1136.596445,4,manual: knock-on interference / matrix absorption
P,2025-05-19,17:10:18,3,111,Carbonatite,0.000000,0.010000,4639.000000,35.000000,88.475841,95.147120,1,certified value 0 <= 1x uncertainty 0.01 (~0)
K,2025-05-19,17:10:18,3,111,Carbonatite,1328.000000,166.000000,368.000000,15.000000,63.400690,65.150959,4,manual: knock-on interference / matrix absorption
Ca,2025-05-19,17:10:18,3,111,Carbonatite,345200.000000,2716.000000,349960.000000,652.000000,2302.419916,2392.956637,3,345200 ppm > 4x max shale (59900 ppm)
Cr,2025-05-19,17:10:18,3,111,Carbonatite,5.000000,0.010000,530.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-05-19,17:10:18,3,111,Carbonatite,3330.000000,3330.000000,2337.000000,26.000000,34.453657,43.163115,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Cu,2025-05-19,17:10:18,3,111,Carbonatite,5.000000,0.010000,10.000000,3.000000,2.212088,3.727376,4,manual: knock-on interference / matrix absorption
Zn,2025-05-19,17:10:18,3,111,Carbonatite,87.000000,1.500000,58.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-05-19,17:10:18,3,111,Carbonatite,0.000000,0.010000,16.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-05-19,17:10:18,3,111,Carbonatite,12000.000000,50.000000,9307.000000,28.000000,44.512927,52.587077,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-05-19,17:10:18,3,111,Carbonatite,65.000000,3.000000,93.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-05-19,17:10:18,3,111,Carbonatite,3900.000000,60.000000,2775.000000,9.000000,41.137862,42.110850,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-05-19,17:10:18,3,111,Carbonatite,0.000000,0.010000,10.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Cd,2025-05-19,17:10:18,3,111,Carbonatite,0.000000,0.010000,15.000000,4.000000,3.117157,5.071160,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-05-19,17:10:18,3,111,Carbonatite,1000.000000,50.000000,1210.000000,20.000000,24.373365,31.528731,4,manual: knock-on interference / matrix absorption
La,2025-05-19,17:10:18,3,111,Carbonatite,750.000000,10.000000,1307.000000,34.000000,32.628444,47.123406,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-05-19,17:10:18,3,111,Carbonatite,1700.000000,100.000000,2408.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Pr,2025-05-19,17:10:18,3,111,Carbonatite,150.000000,6.000000,231.000000,51.000000,40.640099,65.212097,3,150 ppm > 4x max shale (12.6 ppm)
Nd,2025-05-19,17:10:18,3,111,Carbonatite,480.000000,15.000000,811.000000,76.000000,92.046741,119.367511,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-05-19,17:10:18,3,111,Carbonatite,0.000000,0.010000,8.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-05-19,17:10:18,3,111,Carbonatite,0.000000,0.010000,142.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-05-19,17:13:02,3,112,Phosphate,113500.000000,22979.000000,87684.000000,242.000000,559.462522,609.559114,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-05-19,17:13:02,3,112,Phosphate,282600.000000,839.000000,288354.000000,562.000000,1215.927377,1339.523567,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-05-19,17:13:02,3,112,Phosphate,900.000000,34.000000,602.000000,94.000000,73.212847,119.147475,4,manual: knock-on interference / matrix absorption
Cr,2025-05-19,17:13:02,3,112,Phosphate,49.200000,5.200000,432.000000,18.000000,19.357406,26.433107,4,manual: knock-on interference / matrix absorption
Mn,2025-05-19,17:13:02,3,112,Phosphate,8400.000000,40.000000,8484.000000,50.000000,128.816889,138.180284,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-05-19,17:13:02,3,112,Phosphate,32.000000,4.170000,80.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
Cu,2025-05-19,17:13:02,3,112,Phosphate,23.000000,5.020000,22.000000,4.000000,5.680503,6.947526,4,manual: knock-on interference / matrix absorption
Y,2025-05-19,17:13:02,3,112,Phosphate,631.000000,3.900000,674.000000,3.000000,2.956659,4.212105,3,631 ppm > 4x max shale (36.5 ppm)
Cd,2025-05-19,17:13:02,3,112,Phosphate,0.000000,0.010000,29.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-05-19,17:13:02,3,112,Phosphate,0.000000,0.010000,26.000000,6.000000,4.690416,7.615773,1,certified value 0 <= 1x uncertainty 0.01 (~0)
La,2025-05-19,17:13:02,3,112,Phosphate,495.800000,4.890000,685.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-05-19,17:13:02,3,112,Phosphate,928.800000,10.190000,1289.000000,38.000000,40.544980,55.568835,3,928.8 ppm > 4x max shale (108 ppm)
Nd,2025-05-19,17:13:02,3,112,Phosphate,351.000000,9.940000,543.000000,73.000000,83.283259,110.747918,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-05-19,17:13:02,3,112,Phosphate,0.000000,0.010000,17.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-05-19,17:13:02,3,112,Phosphate,0.000000,0.010000,10.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-05-19,17:13:02,3,112,Phosphate,10.700000,0.670000,39.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-05-19,17:13:02,3,112,Phosphate,30.500000,0.710000,31.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-05-20,09:46:02,1,3,Carbonate-Rich Shale,0.000000,0.010000,75.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-05-20,09:48:43,1,4,Marine Shale,0.000000,0.010000,5.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-05-20,09:51:20,1,5,Black Shale,6.310000,0.870000,4.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Sn,2025-05-20,09:51:20,1,5,Black Shale,0.000000,0.010000,21.000000,5.000000,4.210165,6.536474,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-05-20,09:51:20,1,5,Black Shale,0.000000,0.010000,9.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-05-20,09:53:55,1,6,Carbonatite,7540.000000,181.000000,2855.000000,963.000000,715.655280,1199.804767,4,manual: knock-on interference / matrix absorption
P,2025-05-20,09:53:55,1,6,Carbonatite,0.000000,0.010000,4501.000000,36.000000,88.475841,95.519497,1,certified value 0 <= 1x uncertainty 0.01 (~0)
K,2025-05-20,09:53:55,1,6,Carbonatite,1328.000000,166.000000,302.000000,15.000000,63.400690,65.150959,4,manual: knock-on interference / matrix absorption
Ca,2025-05-20,09:53:55,1,6,Carbonatite,345200.000000,2716.000000,347988.000000,674.000000,2302.419916,2399.044282,3,345200 ppm > 4x max shale (59900 ppm)
V,2025-05-20,09:53:55,1,6,Carbonatite,110.000000,6.000000,85.000000,27.000000,6.930208,27.875218,4,manual: knock-on interference / matrix absorption
Cr,2025-05-20,09:53:55,1,6,Carbonatite,5.000000,0.010000,505.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-05-20,09:53:55,1,6,Carbonatite,3330.000000,3330.000000,2440.000000,26.000000,34.453657,43.163115,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Cu,2025-05-20,09:53:55,1,6,Carbonatite,5.000000,0.010000,14.000000,3.000000,2.212088,3.727376,4,manual: knock-on interference / matrix absorption
Zn,2025-05-20,09:53:55,1,6,Carbonatite,87.000000,1.500000,60.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-05-20,09:53:55,1,6,Carbonatite,0.000000,0.010000,16.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-05-20,09:53:55,1,6,Carbonatite,12000.000000,50.000000,9385.000000,29.000000,44.512927,53.126271,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-05-20,09:53:55,1,6,Carbonatite,65.000000,3.000000,91.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-05-20,09:53:55,1,6,Carbonatite,3900.000000,60.000000,2760.000000,9.000000,41.137862,42.110850,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-05-20,09:53:55,1,6,Carbonatite,0.000000,0.010000,14.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-05-20,09:53:55,1,6,Carbonatite,0.000000,0.010000,17.000000,6.000000,4.086563,7.259477,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-05-20,09:53:55,1,6,Carbonatite,1000.000000,50.000000,1209.000000,19.000000,24.373365,30.904060,4,manual: knock-on interference / matrix absorption
La,2025-05-20,09:53:55,1,6,Carbonatite,750.000000,10.000000,1317.000000,33.000000,32.628444,46.407062,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-05-20,09:53:55,1,6,Carbonatite,1700.000000,100.000000,2215.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Pr,2025-05-20,09:53:55,1,6,Carbonatite,150.000000,6.000000,178.000000,51.000000,40.640099,65.212097,3,150 ppm > 4x max shale (12.6 ppm)
Nd,2025-05-20,09:53:55,1,6,Carbonatite,480.000000,15.000000,657.000000,75.000000,92.046741,118.733325,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-05-20,09:53:55,1,6,Carbonatite,0.000000,0.010000,8.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-05-20,09:53:55,1,6,Carbonatite,0.000000,0.010000,142.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-05-20,09:56:52,1,7,Phosphate,113500.000000,22979.000000,88080.000000,249.000000,559.462522,612.371875,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-05-20,09:56:52,1,7,Phosphate,282600.000000,839.000000,287316.000000,578.000000,1215.927377,1346.314742,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-05-20,09:56:52,1,7,Phosphate,900.000000,34.000000,711.000000,94.000000,73.212847,119.147475,4,manual: knock-on interference / matrix absorption
Cr,2025-05-20,09:56:52,1,7,Phosphate,49.200000,5.200000,409.000000,17.000000,19.357406,25.762553,4,manual: knock-on interference / matrix absorption
Mn,2025-05-20,09:56:52,1,7,Phosphate,8400.000000,40.000000,8763.000000,51.000000,128.816889,138.545266,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-05-20,09:56:52,1,7,Phosphate,32.000000,4.170000,74.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
Cu,2025-05-20,09:56:52,1,7,Phosphate,23.000000,5.020000,11.000000,3.000000,5.680503,6.424026,4,manual: knock-on interference / matrix absorption
Y,2025-05-20,09:56:52,1,7,Phosphate,631.000000,3.900000,673.000000,3.000000,2.956659,4.212105,3,631 ppm > 4x max shale (36.5 ppm)
Cd,2025-05-20,09:56:52,1,7,Phosphate,0.000000,0.010000,21.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-05-20,09:56:52,1,7,Phosphate,0.000000,0.010000,19.000000,6.000000,4.690416,7.615773,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sb,2025-05-20,09:56:52,1,7,Phosphate,3.290000,0.100000,27.000000,9.000000,0.000000,9.000000,5,element CV 0.81177 >= 0.5 after Rules 1-4 (incoherent array)
La,2025-05-20,09:56:52,1,7,Phosphate,495.800000,4.890000,717.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-05-20,09:56:52,1,7,Phosphate,928.800000,10.190000,1285.000000,38.000000,40.544980,55.568835,3,928.8 ppm > 4x max shale (108 ppm)
Nd,2025-05-20,09:56:52,1,7,Phosphate,351.000000,9.940000,679.000000,73.000000,83.283259,110.747918,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-05-20,09:56:52,1,7,Phosphate,0.000000,0.010000,13.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-05-20,09:56:52,1,7,Phosphate,0.000000,0.010000,9.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-05-20,09:56:52,1,7,Phosphate,10.700000,0.670000,38.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-05-20,09:56:52,1,7,Phosphate,30.500000,0.710000,28.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-05-20,12:04:17,2,45,Carbonate-Rich Shale,0.000000,0.010000,77.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-05-20,12:06:51,2,46,Marine Shale,3.300000,0.100000,19.000000,5.000000,4.072002,6.448348,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-05-20,12:06:51,2,46,Marine Shale,0.000000,0.010000,8.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-05-20,12:09:26,2,47,Black Shale,6.310000,0.870000,4.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-05-20,12:09:26,2,47,Black Shale,0.000000,0.010000,10.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-05-20,12:12:01,2,48,Carbonatite,7540.000000,181.000000,4561.000000,883.000000,715.655280,1136.596445,4,manual: knock-on interference / matrix absorption
P,2025-05-20,12:12:01,2,48,Carbonatite,0.000000,0.010000,4516.000000,35.000000,88.475841,95.147120,1,certified value 0 <= 1x uncertainty 0.01 (~0)
K,2025-05-20,12:12:01,2,48,Carbonatite,1328.000000,166.000000,223.000000,15.000000,63.400690,65.150959,4,manual: knock-on interference / matrix absorption
Ca,2025-05-20,12:12:01,2,48,Carbonatite,345200.000000,2716.000000,349248.000000,653.000000,2302.419916,2393.229297,3,345200 ppm > 4x max shale (59900 ppm)
Cr,2025-05-20,12:12:01,2,48,Carbonatite,5.000000,0.010000,515.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-05-20,12:12:01,2,48,Carbonatite,3330.000000,3330.000000,2406.000000,26.000000,34.453657,43.163115,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Cu,2025-05-20,12:12:01,2,48,Carbonatite,5.000000,0.010000,16.000000,3.000000,2.212088,3.727376,4,manual: knock-on interference / matrix absorption
Zn,2025-05-20,12:12:01,2,48,Carbonatite,87.000000,1.500000,54.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-05-20,12:12:01,2,48,Carbonatite,0.000000,0.010000,15.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-05-20,12:12:01,2,48,Carbonatite,12000.000000,50.000000,9406.000000,28.000000,44.512927,52.587077,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-05-20,12:12:01,2,48,Carbonatite,65.000000,3.000000,95.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-05-20,12:12:01,2,48,Carbonatite,3900.000000,60.000000,2759.000000,9.000000,41.137862,42.110850,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-05-20,12:12:01,2,48,Carbonatite,0.000000,0.010000,11.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-05-20,12:12:01,2,48,Carbonatite,0.000000,0.010000,24.000000,6.000000,4.086563,7.259477,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-05-20,12:12:01,2,48,Carbonatite,1000.000000,50.000000,1201.000000,20.000000,24.373365,31.528731,4,manual: knock-on interference / matrix absorption
La,2025-05-20,12:12:01,2,48,Carbonatite,750.000000,10.000000,1313.000000,34.000000,32.628444,47.123406,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-05-20,12:12:01,2,48,Carbonatite,1700.000000,100.000000,2375.000000,43.000000,53.742859,68.828009,3,1700 ppm > 4x max shale (108 ppm)
Pr,2025-05-20,12:12:01,2,48,Carbonatite,150.000000,6.000000,253.000000,52.000000,40.640099,65.997103,3,150 ppm > 4x max shale (12.6 ppm)
Nd,2025-05-20,12:12:01,2,48,Carbonatite,480.000000,15.000000,780.000000,76.000000,92.046741,119.367511,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-05-20,12:12:01,2,48,Carbonatite,0.000000,0.010000,8.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-05-20,12:12:01,2,48,Carbonatite,0.000000,0.010000,158.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-05-20,12:14:38,2,49,Phosphate,113500.000000,22979.000000,88175.000000,242.000000,559.462522,609.559114,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-05-20,12:14:38,2,49,Phosphate,282600.000000,839.000000,287996.000000,558.000000,1215.927377,1337.850285,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-05-20,12:14:38,2,49,Phosphate,900.000000,34.000000,621.000000,93.000000,73.212847,118.360132,4,manual: knock-on interference / matrix absorption
Cr,2025-05-20,12:14:38,2,49,Phosphate,49.200000,5.200000,370.000000,17.000000,19.357406,25.762553,4,manual: knock-on interference / matrix absorption
Mn,2025-05-20,12:14:38,2,49,Phosphate,8400.000000,40.000000,8729.000000,50.000000,128.816889,138.180284,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-05-20,12:14:38,2,49,Phosphate,32.000000,4.170000,78.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
Y,2025-05-20,12:14:38,2,49,Phosphate,631.000000,3.900000,673.000000,3.000000,2.956659,4.212105,3,631 ppm > 4x max shale (36.5 ppm)
Cd,2025-05-20,12:14:38,2,49,Phosphate,0.000000,0.010000,28.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-05-20,12:14:38,2,49,Phosphate,0.000000,0.010000,34.000000,6.000000,4.690416,7.615773,1,certified value 0 <= 1x uncertainty 0.01 (~0)
La,2025-05-20,12:14:38,2,49,Phosphate,495.800000,4.890000,757.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-05-20,12:14:38,2,49,Phosphate,928.800000,10.190000,1305.000000,38.000000,40.544980,55.568835,3,928.8 ppm > 4x max shale (108 ppm)
Pr,2025-05-20,12:14:38,2,49,Phosphate,96.700000,1.180000,228.000000,50.000000,28.308252,57.457438,3,96.7 ppm > 4x max shale (12.6 ppm)
Nd,2025-05-20,12:14:38,2,49,Phosphate,351.000000,9.940000,642.000000,73.000000,83.283259,110.747918,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-05-20,12:14:38,2,49,Phosphate,0.000000,0.010000,17.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-05-20,12:14:38,2,49,Phosphate,0.000000,0.010000,11.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-05-20,12:14:38,2,49,Phosphate,10.700000,0.670000,42.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-05-20,12:14:38,2,49,Phosphate,30.500000,0.710000,30.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-05-20,17:07:33,3,105,Carbonate-Rich Shale,0.000000,0.010000,78.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Nb,2025-05-20,17:07:33,3,105,Carbonate-Rich Shale,0.000000,0.010000,4.000000,1.000000,0.550482,1.141504,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sb,2025-05-20,17:07:33,3,105,Carbonate-Rich Shale,3.000000,0.500000,18.000000,6.000000,0.000000,6.000000,5,element CV 0.81177 >= 0.5 after Rules 1-4 (incoherent array)
Hg,2025-05-20,17:10:09,3,106,Marine Shale,0.000000,0.010000,6.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-05-20,17:12:45,3,107,Black Shale,6.310000,0.870000,4.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-05-20,17:12:45,3,107,Black Shale,0.000000,0.010000,9.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-05-20,17:15:23,3,108,Carbonatite,7540.000000,181.000000,2810.000000,870.000000,715.655280,1126.526733,4,manual: knock-on interference / matrix absorption
P,2025-05-20,17:15:23,3,108,Carbonatite,0.000000,0.010000,4576.000000,35.000000,88.475841,95.147120,1,certified value 0 <= 1x uncertainty 0.01 (~0)
K,2025-05-20,17:15:23,3,108,Carbonatite,1328.000000,166.000000,242.000000,15.000000,63.400690,65.150959,4,manual: knock-on interference / matrix absorption
Ca,2025-05-20,17:15:23,3,108,Carbonatite,345200.000000,2716.000000,349501.000000,648.000000,2302.419916,2391.869869,3,345200 ppm > 4x max shale (59900 ppm)
Ti,2025-05-20,17:15:23,3,108,Carbonatite,1500.000000,12.000000,447.000000,86.000000,63.055342,106.639468,4,manual: knock-on interference / matrix absorption
V,2025-05-20,17:15:23,3,108,Carbonatite,110.000000,6.000000,92.000000,26.000000,6.930208,26.907764,4,manual: knock-on interference / matrix absorption
Cr,2025-05-20,17:15:23,3,108,Carbonatite,5.000000,0.010000,490.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-05-20,17:15:23,3,108,Carbonatite,3330.000000,3330.000000,2391.000000,26.000000,34.453657,43.163115,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Cu,2025-05-20,17:15:23,3,108,Carbonatite,5.000000,0.010000,16.000000,3.000000,2.212088,3.727376,4,manual: knock-on interference / matrix absorption
Zn,2025-05-20,17:15:23,3,108,Carbonatite,87.000000,1.500000,60.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-05-20,17:15:23,3,108,Carbonatite,0.000000,0.010000,16.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-05-20,17:15:23,3,108,Carbonatite,12000.000000,50.000000,9283.000000,28.000000,44.512927,52.587077,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-05-20,17:15:23,3,108,Carbonatite,65.000000,3.000000,87.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-05-20,17:15:23,3,108,Carbonatite,3900.000000,60.000000,2792.000000,9.000000,41.137862,42.110850,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-05-20,17:15:23,3,108,Carbonatite,0.000000,0.010000,10.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-05-20,17:15:23,3,108,Carbonatite,1000.000000,50.000000,1209.000000,19.000000,24.373365,30.904060,4,manual: knock-on interference / matrix absorption
La,2025-05-20,17:15:23,3,108,Carbonatite,750.000000,10.000000,1279.000000,33.000000,32.628444,46.407062,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-05-20,17:15:23,3,108,Carbonatite,1700.000000,100.000000,2296.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Pr,2025-05-20,17:15:23,3,108,Carbonatite,150.000000,6.000000,171.000000,51.000000,40.640099,65.212097,3,150 ppm > 4x max shale (12.6 ppm)
